,asOfDate,symbol,AccountsPayable,AccountsReceivable,NetIncome,StockholdersEquity,Inventory,GrossProfit,OperatingRevenue,TotalRevenue,OperatingCashFlow,TotalDebt,RetainedEarnings,DilutedEPS,DepreciationAndAmortizationInIncomeStatement,WorkingCapital,EBIT
6,2025-03-31,TCS.NS,139090000000.0,501420000000.0,122240000000.0,947560000000.0,210000000.0,249690000000.0,644790000000.0,644790000000.0,,93920000000.0,,,13790000000.0,700100000000.0,166290000000.0
0,2023-09-30,TATACONSUM.NS,19122500000.0,8517300000.0,,161543100000.0,26212900000.0,,,,,15114500000.0,,3.64,,43866200000.0,
1,2023-12-31,TATACONSUM.NS,,,2788700000.0,,,16661300000.0,38039200000.0,38039200000.0,,,,2.97,855100000.0,,4549300000.0
2,2024-03-31,TATACONSUM.NS,27071500000.0,8967500000.0,2166300000.0,160567900000.0,27693500000.0,13965200000.0,38196000000.0,38196000000.0,,34772200000.0,69002700000.0,,1157600000.0,12163400000.0,3364900000.0
3,2024-06-30,TATACONSUM.NS,,,2903200000.0,,,19546400000.0,43520700000.0,43520700000.0,,,,3.012552,1480000000.0,,5414500000.0
4,2024-09-30,TATACONSUM.NS,25425800000.0,10022700000.0,3644200000.0,191318300000.0,33058800000.0,18375700000.0,42144500000.0,42144500000.0,,29546500000.0,,3.78,1493300000.0,24256900000.0,4957600000.0
5,2024-12-31,TATACONSUM.NS,,,2788800000.0,,,18251200000.0,44435600000.0,44435600000.0,,,,2.82,1503200000.0,,4598500000.0
0,2023-09-30,TATAMOTORS.NS,806750300000.0,170943300000.0,,536428900000.0,459870000000.0,,,,,1278643000000.0,,9.8,,-22881500000.0,
1,2023-12-31,TATAMOTORS.NS,,,70250000000.0,,,415210000000.0,1097990000000.0,1097990000000.0,,,,18.3,68500000000.0,,101720000000.0
2,2024-03-31,TATAMOTORS.NS,946425400000.0,169518100000.0,174071800000.0,849180200000.0,477882900000.0,322465400000.0,1192133500000.0,1192133500000.0,,1098104000000.0,552100500000.0,,71505300000.0,-52248500000.0,120563300000.0
3,2024-06-30,TATAMOTORS.NS,,,55660000000.0,,,414030000000.0,1073160000000.0,1073160000000.0,,,,14.5,65740000000.0,,109580000000.0
4,2024-09-30,TATAMOTORS.NS,881390000000.0,136850000000.0,33430000000.0,1010620000000.0,546820000000.0,382990000000.0,1005340000000.0,1005340000000.0,,1065490000000.0,,9.71,60050000000.0,-108160000000.0,78010000000.0
5,2024-12-31,TATAMOTORS.NS,,,54510000000.0,,,434110000000.0,1128330000000.0,1128330000000.0,,,,14.8,54080000000.0,,93990000000.0
0,2023-09-30,TATASTEEL.NS,332567100000.0,67796800000.0,,891971900000.0,491708300000.0,,,,,897229500000.0,,-5.07,,-276352800000.0,
1,2023-12-31,TATASTEEL.NS,,,5133700000.0,,,322807900000.0,547273000000.0,547273000000.0,,,,0.42,24220400000.0,,38086900000.0
2,2024-03-31,TATASTEEL.NS,354346600000.0,62635300000.0,6114800000.0,920357600000.0,491575100000.0,-32218700000.0,584458900000.0,584458900000.0,,870821200000.0,348157300000.0,,25741500000.0,-278552400000.0,36511200000.0
3,2024-06-30,TATASTEEL.NS,,,9596100000.0,,,319893800000.0,544123500000.0,544123500000.0,,,,0.77,25354300000.0,,41535300000.0
4,2024-09-30,TATASTEEL.NS,325024400000.0,60411900000.0,8334500000.0,901470800000.0,511719400000.0,295466700000.0,534897300000.0,534897300000.0,,993917600000.0,,0.67,25967400000.0,-179233800000.0,41357300000.0
5,2024-12-31,TATASTEEL.NS,,,3266400000.0,,,293008400000.0,532312800000.0,532312800000.0,,,,0.26,25691900000.0,,34761200000.0
0,2023-09-30,TECHM.NS,42530000000.0,73429000000.0,,264113000000.0,290000000.0,,,,,26141000000.0,,5.57,,98987000000.0,
1,2023-12-31,TECHM.NS,,,5104000000.0,,,41825000000.0,131013000000.0,131013000000.0,,,,5.76,4434000000.0,,7953000000.0
2,2024-03-31,TECHM.NS,37853000000.0,71256000000.0,6610000000.0,266694000000.0,375000000.0,8288000000.0,128713000000.0,128713000000.0,,25367000000.0,227681000000.0,,4614000000.0,108087000000.0,6765000000.0
3,2024-06-30,TECHM.NS,,,8515000000.0,,,41675000000.0,130055000000.0,130055000000.0,,,,9.6,4622000000.0,,12496000000.0
4,2024-09-30,TECHM.NS,37862000000.0,70622000000.0,12501000000.0,264461000000.0,390000000.0,42890000000.0,133132000000.0,133132000000.0,,20351000000.0,,14.1,4698000000.0,103943000000.0,18025000000.0
5,2024-12-31,TECHM.NS,,,9832000000.0,,,44025000000.0,132856000000.0,132856000000.0,,,,11.08,4588000000.0,,13733000000.0
0,2023-09-30,TITAN.NS,14120000000.0,15630000000.0,,124090000000.0,183260000000.0,,,,,142540000000.0,,10.31,,92150000000.0,
1,2023-12-31,TITAN.NS,,,10530000000.0,,,30930000000.0,139630000000.0,139630000000.0,,,,11.9,1540000000.0,,15470000000.0
2,2024-03-31,TITAN.NS,14100000000.0,10180000000.0,7710000000.0,93930000000.0,190510000000.0,56490000000.0,154140000000.0,154140000000.0,,155280000000.0,64190000000.0,,1580000000.0,90790000000.0,11920000000.0
3,2024-06-30,TITAN.NS,,,7150000000.0,,,28870000000.0,132230000000.0,132230000000.0,,,,8.06,1640000000.0,,12030000000.0
4,2024-09-30,TITAN.NS,19710000000.0,13290000000.0,7040000000.0,97360000000.0,253370000000.0,19510000000.0,134730000000.0,134730000000.0,,216480000000.0,,7.93,1710000000.0,76660000000.0,11880000000.0
5,2024-12-31,TITAN.NS,,,10470000000.0,,,34670000000.0,175500000000.0,175500000000.0,,,,11.8,1750000000.0,,16270000000.0
0,2023-09-30,TRENT.NS,7329100000.0,490600000.0,,29138200000.0,13965100000.0,,,,,48393300000.0,,6.6,,13496300000.0,
1,2023-12-31,TRENT.NS,,,3743600000.0,,,15301400000.0,34666200000.0,34666200000.0,,,,10.53,1645300000.0,,5740000000.0
