,asOfDate,symbol,AccountsPayable,AccountsReceivable,NetIncome,StockholdersEquity,Inventory,GrossProfit,OperatingRevenue,TotalRevenue,OperatingCashFlow,TotalDebt,RetainedEarnings,DilutedEPS,DepreciationAndAmortizationInIncomeStatement,WorkingCapital,EBIT
0,2023-09-30,BHARTIARTL.NS,,,,,3386000000.0,,,,,,,2.31,,,
1,2023-12-31,BHARTIARTL.NS,367843000000.0,55099000000.0,24422000000.0,790854000000.0,,254296000000.0,378995000000.0,378995000000.0,214346000000.0,2184853000000.0,,4.17,100743000000.0,-690328000000.0,107533000000.0
2,2024-03-31,BHARTIARTL.NS,351325000000.0,47277000000.0,20716000000.0,820188000000.0,3639000000.0,210607000000.0,375991000000.0,375991000000.0,175248000000.0,2155923000000.0,114706000000.0,,100752000000.0,-803917000000.0,12895000000.0
3,2024-06-30,BHARTIARTL.NS,382085000000.0,50768000000.0,41599000000.0,883067000000.0,,256810000000.0,385064000000.0,385064000000.0,218034000000.0,2088743000000.0,,6.98,105401000000.0,-890393000000.0,111777000000.0
4,2024-09-30,BHARTIARTL.NS,395892000000.0,56452000000.0,35932000000.0,870974000000.0,4361000000.0,281749000000.0,414733000000.0,414733000000.0,249307000000.0,2255408000000.0,,6.0,110000000000.0,-988788000000.0,113211000000.0
5,2024-12-31,BHARTIARTL.NS,402031000000.0,99707000000.0,147812000000.0,1035075000000.0,,309692000000.0,451293000000.0,451293000000.0,257278000000.0,2046230000000.0,,24.65,117042000000.0,-936899000000.0,225674000000.0
0,2023-09-30,BRITANNIA.NS,16287600000.0,4128100000.0,,28479900000.0,16492900000.0,,,,,27783900000.0,,24.41,,-6666500000.0,
1,2023-12-31,BRITANNIA.NS,,,5563900000.0,,,18027500000.0,41918300000.0,41918300000.0,,,,23.11,780900000.0,,7893200000.0
2,2024-03-31,BRITANNIA.NS,16274800000.0,3933300000.0,5382800000.0,39415200000.0,11812200000.0,17154700000.0,40140700000.0,40140700000.0,,20746300000.0,36295100000.0,,799300000.0,7642500000.0,7592000000.0
3,2024-06-30,BRITANNIA.NS,,,5056400000.0,,,17245100000.0,41299200000.0,41299200000.0,,,,20.99,739300000.0,,7100500000.0
4,2024-09-30,BRITANNIA.NS,18092300000.0,5100000000.0,5314500000.0,32103200000.0,19723900000.0,18367900000.0,45662300000.0,45662300000.0,,27535600000.0,,22.06,760700000.0,-390700000.0,7497900000.0
5,2024-12-31,BRITANNIA.NS,,,5816900000.0,,,16490400000.0,44633000000.0,44633000000.0,,,,24.15,823800000.0,,8229500000.0
0,2023-09-30,CIPLA.NS,26753500000.0,48498000000.0,,248254000000.0,54701200000.0,,,,,9608900000.0,,14.0,,133589900000.0,
1,2023-12-31,CIPLA.NS,,,10559000000.0,,,42861300000.0,65056600000.0,65056600000.0,,,,13.07,2334300000.0,,15039100000.0
2,2024-03-31,CIPLA.NS,24739800000.0,47706600000.0,9390400000.0,267064300000.0,52379500000.0,32594400000.0,60823700000.0,60823700000.0,,5594100000.0,214387800000.0,,1789300000.0,141956400000.0,12581000000.0
3,2024-06-30,CIPLA.NS,,,11776400000.0,,,44319800000.0,66248600000.0,66248600000.0,,,,14.57,2466800000.0,,16293100000.0
4,2024-09-30,CIPLA.NS,26753300000.0,55875600000.0,13025300000.0,283621000000.0,55728600000.0,46782100000.0,69612200000.0,69612200000.0,,4613800000.0,,16.12,2717400000.0,154904100000.0,18044600000.0
5,2024-12-31,CIPLA.NS,,,15705100000.0,,,46975200000.0,69616000000.0,69616000000.0,,,,19.43,2798000000.0,,19307300000.0
0,2023-09-30,COALINDIA.NS,75954000000.0,156043300000.0,,696858300000.0,67722100000.0,,,,,63130600000.0,,13.06,,494734000000.0,
1,2023-12-31,COALINDIA.NS,,,102534800000.0,,,291941900000.0,330111100000.0,330111100000.0,,,,16.64,,,137368300000.0
2,2024-03-31,COALINDIA.NS,83856500000.0,139051300000.0,135622900000.0,827297800000.0,101772300000.0,273129400000.0,337682000000.0,337682000000.0,,65230300000.0,544255600000.0,,,426108200000.0,168679700000.0
3,2024-06-30,COALINDIA.NS,,,109594700000.0,,,281922900000.0,331701300000.0,331701300000.0,,,,17.783471,,,143560400000.0
4,2024-09-30,COALINDIA.NS,74474100000.0,161399500000.0,62891000000.0,961970800000.0,91131200000.0,221140900000.0,272713000000.0,272713000000.0,,78161600000.0,,10.21,,483557400000.0,83615100000.0
5,2024-12-31,COALINDIA.NS,,,85055700000.0,,,275639300000.0,323589800000.0,323589800000.0,,,,13.8,,,120179600000.0
0,2023-09-30,DRREDDY.NS,,,,,,,,,,,,,,,
1,2023-12-31,DRREDDY.NS,31113000000.0,78417000000.0,13789000000.0,267850000000.0,60796000000.0,42203000000.0,72148000000.0,72148000000.0,4737000000.0,19851000000.0,252078000000.0,16.54,,144877000000.0,18651000000.0
2,2024-03-31,DRREDDY.NS,21547000000.0,80298000000.0,13070000000.0,280550000000.0,63552000000.0,41483000000.0,70830000000.0,70830000000.0,11520000000.0,20020000000.0,265257000000.0,78.53,,152010000000.0,16609000000.0
3,2024-06-30,DRREDDY.NS,34109000000.0,81088000000.0,13920000000.0,294627000000.0,68568000000.0,46344000000.0,76727000000.0,76727000000.0,8496000000.0,30675000000.0,279264000000.0,16.692,,163515000000.0,17913000000.0
4,2024-09-30,DRREDDY.NS,35776000000.0,84398000000.0,12553000000.0,305344000000.0,72039000000.0,47769000000.0,80162000000.0,80162000000.0,9316000000.0,48540000000.0,285180000000.0,3.01,,118829000000.0,19924000000.0
5,2024-12-31,DRREDDY.NS,36022000000.0,92212000000.0,14133000000.0,317721000000.0,71630000000.0,49052000000.0,83586000000.0,83586000000.0,6620000000.0,51085000000.0,299350000000.0,16.94,,121066000000.0,19560000000.0
0,2023-09-30,EICHERMOT.NS,22975800000.0,2878600000.0,,159309300000.0,15705000000.0,,,,,4161600000.0,,37.06,,5944000000.0,
1,2023-12-31,EICHERMOT.NS,,,9959700000.0,,,18577100000.0,41156000000.0,41156000000.0,,,,36.31,1475400000.0,,13103100000.0
2,2024-03-31,EICHERMOT.NS,20901300000.0,3737800000.0,10704500000.0,180455300000.0,14096400000.0,16587900000.0,41733500000.0,41733500000.0,,4194400000.0,172139500000.0,,1652500000.0,5529200000.0,14003500000.0
3,2024-06-30,EICHERMOT.NS,,,11014600000.0,,,19571800000.0,43133400000.0,43133400000.0,,,,40.11,1686300000.0,,14533100000.0
4,2024-09-30,EICHERMOT.NS,22649500000.0,3133500000.0,11003300000.0,189795500000.0,17922500000.0,19039900000.0,41863800000.0,41863800000.0,,4038600000.0,,40.06,1800600000.0,19899900000.0,13751900000.0
5,2024-12-31,EICHERMOT.NS,,,11705000000.0,,,21564400000.0,48881100000.0,48881100000.0,,,,42.61,1792700000.0,,14742100000.0
0,2023-09-30,GRASIM.NS,134318400000.0,59441900000.0,,831702400000.0,122547800000.0,,,,,1219280600000.0,,17.64,,-1390700000.0,
1,2023-12-31,GRASIM.NS,,,15144400000.0,,,151342100000.0,319654800000.0,319654800000.0,,,,22.96,12444300000.0,,39043800000.0
2,2024-03-31,GRASIM.NS,153570600000.0,69794000000.0,13698200000.0,886524000000.0,135447800000.0,122360900000.0,367168800000.0,367168800000.0,,1371439100000.0,120145100000.0,,13292200000.0,-60676800000.0,43805700000.0
3,2024-06-30,GRASIM.NS,,,12079300000.0,,,155708500000.0,338607500000.0,338607500000.0,,,,18.13,13677300000.0,,34567400000.0
4,2024-09-30,GRASIM.NS,154802600000.0,71261300000.0,3899000000.0,929176100000.0,155875200000.0,148100100000.0,335628500000.0,335628500000.0,,1581594800000.0,,5.84,14958000000.0,-84960900000.0,25484400000.0
5,2024-12-31,GRASIM.NS,,,8989700000.0,,,156617800000.0,347928500000.0,347928500000.0,,,,13.38,15315800000.0,,31469800000.0
0,2023-09-30,HCLTECH.NS,24960000000.0,180530000000.0,,656830000000.0,1360000000.0,,,,,52680000000.0,,14.13,,323170000000.0,
1,2023-12-31,HCLTECH.NS,,,43500000000.0,,,122340000000.0,284460000000.0,284460000000.0,,,,16.03,11430000000.0,,60140000000.0
2,2024-03-31,HCLTECH.NS,25700000000.0,194830000000.0,39860000000.0,682630000000.0,1850000000.0,106380000000.0,284990000000.0,284990000000.0,,57560000000.0,564320000000.0,,10930000000.0,366050000000.0,54400000000.0
3,2024-06-30,HCLTECH.NS,,,42570000000.0,,,112180000000.0,280570000000.0,280570000000.0,,,,15.69,9980000000.0,,58980000000.0
4,2024-09-30,HCLTECH.NS,25380000000.0,182730000000.0,42350000000.0,688750000000.0,1740000000.0,118730000000.0,288620000000.0,288620000000.0,,57910000000.0,,15.61,10070000000.0,375160000000.0,58180000000.0
5,2024-12-31,HCLTECH.NS,,,45910000000.0,,,126700000000.0,298900000000.0,298900000000.0,,,,16.93,10390000000.0,,62980000000.0
0,2023-09-30,HDFCBANK.NS,273930500000.0,240815200000.0,168114100000.0,6505596300000.0,,,663167100000.0,663167100000.0,,7916737400000.0,1529930500000.0,22.12,,,
1,2023-12-31,HDFCBANK.NS,,,172578700000.0,4373224600000.0,,,717731400000.0,717731400000.0,,7996598500000.0,,22.65,,,
2,2024-03-31,HDFCBANK.NS,531484800000.0,249940000000.0,158260000000.0,6947327400000.0,,,255370500000.0,255370500000.0,,8093552100000.0,1746416900000.0,23.12,,,
3,2024-06-30,HDFCBANK.NS,,,164748500000.0,4758360500000.0,,,724169900000.0,724169900000.0,,6733542300000.0,,21.59,,,
4,2024-12-31,HDFCBANK.NS,,,176566100000.0,5021902900000.0,,,652796600000.0,652796600000.0,,6534742500000.0,,23.0,,,
0,2023-09-30,HDFCLIFE.NS,,,,,,,,,,,,1.76,,,
1,2023-12-31,HDFCLIFE.NS,,,,,,,,,,,0.0,1.71,,,
2,2024-03-31,HDFCLIFE.NS,16284919000.0,15194323000.0,4116420000.0,146663510000.0,,,280610040000.0,280610040000.0,,9500000000.0,82408091000.0,,,,
3,2024-06-30,HDFCLIFE.NS,,,4789700000.0,153498600000.0,,,269304600000.0,269304600000.0,,9500000000.0,,2.23,,,
4,2024-09-30,HDFCLIFE.NS,,,4351800000.0,156043000000.0,,,284997200000.0,284997200000.0,,9500000000.0,0.0,2.02,,,
5,2024-12-31,HDFCLIFE.NS,,,4213100000.0,158067200000.0,,,172467400000.0,172467400000.0,,19500000000.0,0.0,1.96,,,
6,2025-03-31,HDFCLIFE.NS,,,4753600000.0,161546200000.0,,,241499000000.0,241499000000.0,,29500000000.0,0.0,,,,
0,2023-09-30,HEROMOTOCO.NS,59631700000.0,42294900000.0,,176739700000.0,20321600000.0,,,,,6508900000.0,,50.25,,36710800000.0,
1,2023-12-31,HEROMOTOCO.NS,,,10934100000.0,,,32336600000.0,97878600000.0,97878600000.0,,,,54.59,1939200000.0,,14788200000.0
2,2024-03-31,HEROMOTOCO.NS,56229000000.0,26302200000.0,9350100000.0,176989200000.0,17559000000.0,29751100000.0,94270900000.0,94270900000.0,,6064100000.0,148705100000.0,,1966100000.0,32670800000.0,12997200000.0
3,2024-06-30,HEROMOTOCO.NS,,,10458900000.0,,,33408500000.0,102107900000.0,102107900000.0,,,,52.21,2054400000.0,,14265100000.0
4,2024-09-30,HEROMOTOCO.NS,72101700000.0,41160900000.0,10637100000.0,190105100000.0,19337000000.0,35565400000.0,104829300000.0,104829300000.0,,5880700000.0,,53.08,2061000000.0,56067200000.0,14823700000.0
5,2024-12-31,HEROMOTOCO.NS,,,11075500000.0,,,35873700000.0,102598900000.0,102598900000.0,,,,55.31,2089100000.0,,15134900000.0
0,2023-09-30,HINDALCO.NS,372340000000.0,166280000000.0,,994950000000.0,425220000000.0,,,,,583720000000.0,,9.87,,286200000000.0,
1,2023-12-31,HINDALCO.NS,,,23310000000.0,,,187000000000.0,528080000000.0,528080000000.0,,,,10.49,,,42720000000.0
2,2024-03-31,HINDALCO.NS,389190000000.0,164040000000.0,31740000000.0,1061460000000.0,408120000000.0,135950000000.0,548390000000.0,548390000000.0,,563560000000.0,575560000000.0,,,229920000000.0,49430000000.0
3,2024-06-30,HINDALCO.NS,,,30740000000.0,,,210260000000.0,570130000000.0,570130000000.0,,,,13.81,,,57070000000.0
4,2024-09-30,HINDALCO.NS,414650000000.0,180160000000.0,39090000000.0,1151760000000.0,476250000000.0,204830000000.0,582030000000.0,582030000000.0,,609590000000.0,,17.56,,251990000000.0,65120000000.0
5,2024-12-31,HINDALCO.NS,,,37350000000.0,,,209850000000.0,583900000000.0,583900000000.0,,,,16.79,,,61130000000.0
0,2023-09-30,HINDUNILVR.NS,106340000000.0,32070000000.0,,503640000000.0,35810000000.0,,,,,12720000000.0,,11.3,,77110000000.0,
1,2023-12-31,HINDUNILVR.NS,,,25090000000.0,,,78150000000.0,152940000000.0,152940000000.0,,,,10.68,3130000000.0,,35360000000.0
2,2024-03-31,HINDUNILVR.NS,104860000000.0,29970000000.0,25580000000.0,512180000000.0,40220000000.0,66520000000.0,150410000000.0,150410000000.0,,14840000000.0,104430000000.0,,3200000000.0,84480000000.0,35240000000.0
3,2024-06-30,HINDUNILVR.NS,,,26100000000.0,,,79780000000.0,155230000000.0,155230000000.0,,,,11.11,3290000000.0,,36220000000.0
4,2024-09-30,HINDUNILVR.NS,114500000000.0,36780000000.0,25910000000.0,507760000000.0,42430000000.0,80200000000.0,157290000000.0,157290000000.0,,16510000000.0,,11.03,3380000000.0,92170000000.0,36520000000.0
5,2024-12-31,HINDUNILVR.NS,,,29840000000.0,,,78890000000.0,155900000000.0,155900000000.0,,,,12.7,3410000000.0,,40940000000.0
0,2023-09-30,ICICIBANK.NS,,,,,,,,,,,,,,,
1,2023-12-31,ICICIBANK.NS,,,110526000000.0,2438305300000.0,,,400710000000.0,400710000000.0,,2009669400000.0,,15.47,,,
2,2024-03-31,ICICIBANK.NS,38985508000.0,208551090000.0,116715235000.0,2561438346000.0,,,460386052000.0,460386052000.0,,2009987053000.0,,16.32,,,
3,2024-06-30,ICICIBANK.NS,,,116958400000.0,2727099600000.0,,,461484400000.0,461484400000.0,,2060332900000.0,,16.32,,,
4,2024-09-30,ICICIBANK.NS,,,129477700000.0,2800866300000.0,,,507172500000.0,507172500000.0,,2197605500000.0,,18.05,,,
5,2024-12-31,ICICIBANK.NS,,,128833700000.0,2926864900000.0,,,519931500000.0,519931500000.0,,2170072000000.0,,17.95,,,
0,2023-09-30,ITC.NS,46616400000.0,41682300000.0,,690992400000.0,148723700000.0,,,,,2840600000.0,,3.92,,255789800000.0,
1,2023-12-31,ITC.NS,,,53352300000.0,,,100851400000.0,170548700000.0,170548700000.0,,,,4.26,3840400000.0,,64775100000.0
2,2024-03-31,ITC.NS,47978300000.0,40258200000.0,51205500000.0,745070000000.0,143028800000.0,107274700000.0,177676100000.0,177676100000.0,,3034300000.0,361725700000.0,,4614400000.0,273751400000.0,68741700000.0
3,2024-06-30,ITC.NS,,,50915900000.0,,,110561000000.0,183398300000.0,183398300000.0,,,,4.07,4985700000.0,,69493000000.0
4,2024-09-30,ITC.NS,49362400000.0,58252300000.0,49928700000.0,752661500000.0,179441700000.0,114376400000.0,205815700000.0,205815700000.0,,3043400000.0,,3.99,5203700000.0,306921200000.0,68643300000.0
5,2024-12-31,ITC.NS,,,49348000000.0,,,106168700000.0,185803600000.0,185803600000.0,,,,3.94,4159800000.0,,65458800000.0
0,2023-09-30,INDUSINDBK.NS,,,,583940000000.0,,,,,,405304500000.0,,28.31,,,
1,2023-12-31,INDUSINDBK.NS,,,23014900000.0,,,,76915500000.0,76915500000.0,,,,29.55,,,
2,2024-03-31,INDUSINDBK.NS,19426094000.0,,23491420000.0,632075634000.0,,,73382678000.0,73382678000.0,,476114113000.0,295864767000.0,,,,
3,2024-06-30,INDUSINDBK.NS,,,21707900000.0,,,,78492400000.0,78492400000.0,,,,27.85,,,
4,2024-09-30,INDUSINDBK.NS,,,13312900000.0,657015900000.0,,,75322300000.0,75322300000.0,,447161200000.0,,17.08,,,
5,2024-12-31,INDUSINDBK.NS,,,14023300000.0,,,,75831200000.0,75831200000.0,,,,18.0,,,
0,2023-09-30,INFY.NS,,,,,,,,,,,11850000000.0,,,,
1,2023-12-31,INFY.NS,,,,,,,,,,,,0.18,,,
2,2023-12-31,INFY.NS,460000000.0,3680000000.0,733000000.0,9617000000.0,,1389000000.0,4663000000.0,4663000000.0,,802000000.0,,,,4614000000.0,956000000.0
3,2024-03-31,INFY.NS,,,,,,,,,,,,0.23,,,
4,2024-03-31,INFY.NS,474000000.0,3620000000.0,959000000.0,10559000000.0,,1345000000.0,4565000000.0,4565000000.0,,1002000000.0,12557000000.0,,,6071000000.0,1485000000.0
5,2024-06-30,INFY.NS,,,,,,,,,,,,0.18,,,
6,2024-06-30,INFY.NS,443000000.0,3709000000.0,763000000.0,9956000000.0,,1455000000.0,4714000000.0,4714000000.0,,740000000.0,,,,5432000000.0,994000000.0
7,2024-09-30,INFY.NS,,,,,,,,,,,,0.19,,,
8,2024-09-30,INFY.NS,458000000.0,3820000000.0,777000000.0,10789000000.0,,1494000000.0,4894000000.0,4894000000.0,,756000000.0,,,,5813000000.0,1033000000.0
9,2024-12-31,INFY.NS,,,,,,,,,,,,0.19,,,
10,2024-12-31,INFY.NS,429000000.0,3896000000.0,804000000.0,10307000000.0,,1495000000.0,4939000000.0,4939000000.0,,667000000.0,,,,5435000000.0,1053000000.0
0,2023-09-30,JSWSTEEL.NS,323280000000.0,71870000000.0,,739580000000.0,338420000000.0,,,,,818740000000.0,,11.33,,-100520000000.0,
1,2023-12-31,JSWSTEEL.NS,,,24150000000.0,,,182390000000.0,413370000000.0,413370000000.0,,,,9.88,20590000000.0,,52990000000.0
2,2024-03-31,JSWSTEEL.NS,161260000000.0,75480000000.0,12990000000.0,776690000000.0,378150000000.0,99310000000.0,456460000000.0,456460000000.0,,1056450000000.0,502080000000.0,,21940000000.0,-15310000000.0,36000000000.0
3,2024-06-30,JSWSTEEL.NS,,,8450000000.0,,,165070000000.0,423370000000.0,423370000000.0,,,,3.45,22090000000.0,,34530000000.0
4,2024-09-30,JSWSTEEL.NS,289000000000.0,80020000000.0,4390000000.0,796660000000.0,372400000000.0,161990000000.0,391040000000.0,391040000000.0,,952580000000.0,,1.8,22670000000.0,38880000000.0,29190000000.0
5,2024-12-31,JSWSTEEL.NS,,,7170000000.0,,,162830000000.0,407930000000.0,407930000000.0,,,,2.93,23360000000.0,,32930000000.0
0,2023-09-30,KOTAKBANK.NS,,,,1208153500000.0,,,,,,615241600000.0,,22.45,,,
1,2023-12-31,KOTAKBANK.NS,,,42647800000.0,,,,180976700000.0,180976700000.0,,,,21.46,,,
2,2024-03-31,KOTAKBANK.NS,30324751000.0,,53371975000.0,1299716900000.0,,,196580998000.0,196580998000.0,,751056062000.0,750043044000.0,,,,
3,2024-06-30,KOTAKBANK.NS,,,74481600000.0,,,,182706200000.0,182706200000.0,,,,37.47,,,
4,2024-09-30,KOTAKBANK.NS,,,50440500000.0,1473183000000.0,,,197410400000.0,197410400000.0,,770709500000.0,,25.37,,,
5,2024-12-31,KOTAKBANK.NS,,,47010200000.0,,,,167750500000.0,167750500000.0,,,,23.64,,,
0,2023-09-30,LT.NS,445206400000.0,479772500000.0,,784117700000.0,66238600000.0,,,,,1221087500000.0,,22.92,,416936700000.0,
1,2023-12-31,LT.NS,,,29473600000.0,,,184587600000.0,551278200000.0,551278200000.0,,,,21.42,9207500000.0,,56760000000.0
2,2024-03-31,LT.NS,532928800000.0,487709500000.0,43961200000.0,863592400000.0,66201900000.0,190361600000.0,650814600000.0,650814600000.0,,1163222200000.0,794896900000.0,,10135700000.0,414791400000.0,73388100000.0
3,2024-06-30,LT.NS,,,27857200000.0,,,195132700000.0,551198200000.0,551198200000.0,,,,20.25,9979200000.0,,55380100000.0
4,2024-09-30,LT.NS,515635500000.0,511432300000.0,33952900000.0,892298700000.0,72749000000.0,205420500000.0,615545800000.0,615545800000.0,,1261834900000.0,,24.68,10238400000.0,337439900000.0,64394700000.0
5,2024-12-31,LT.NS,,,33588400000.0,,,210525700000.0,646677800000.0,646677800000.0,,,,24.41,10470000000.0,,61757400000.0
0,2023-09-30,M&M.NS,264406100000.0,86315200000.0,,604859700000.0,178435000000.0,,,,,997116800000.0,,20.99,,224596800000.0,
1,2023-12-31,M&M.NS,,,26584000000.0,,,136964800000.0,352183200000.0,352183200000.0,,,,23.76,11225900000.0,,58570800000.0
2,2024-03-31,M&M.NS,256656400000.0,74594000000.0,27540800000.0,661905500000.0,185904700000.0,116256800000.0,328970700000.0,328970700000.0,,1066255200000.0,577178600000.0,,11475300000.0,227199900000.0,58650800000.0
3,2024-06-30,M&M.NS,,,32826300000.0,,,148484700000.0,370100600000.0,370100600000.0,,,,29.32,12477700000.0,,67285600000.0
4,2024-09-30,M&M.NS,276537300000.0,85343100000.0,31707200000.0,705015100000.0,197648100000.0,150066300000.0,376890400000.0,376890400000.0,,1168439700000.0,,28.31,13019900000.0,268456800000.0,69569800000.0
5,2024-12-31,M&M.NS,,,31805800000.0,,,163358600000.0,414649800000.0,414649800000.0,,,,28.4,14951700000.0,,74541500000.0
0,2023-09-30,MARUTI.NS,138384000000.0,44619000000.0,,657931000000.0,47665000000.0,,,,,3925000000.0,,120.43,,-73203000000.0,
1,2023-12-31,MARUTI.NS,,,32068000000.0,,,85445000000.0,318447000000.0,318447000000.0,,,,102.0,13015000000.0,,41914000000.0
2,2024-03-31,MARUTI.NS,169884000000.0,45968000000.0,39523000000.0,856360000000.0,53181000000.0,51275000000.0,382563000000.0,382563000000.0,,1186000000.0,664158000000.0,,12983000000.0,-33180000000.0,51838000000.0
3,2024-06-30,MARUTI.NS,,,37597000000.0,,,92841000000.0,338764000000.0,338764000000.0,,,,119.58,13317000000.0,,48930000000.0
4,2024-09-30,MARUTI.NS,179706000000.0,59038000000.0,31025000000.0,891260000000.0,69769000000.0,91582000000.0,355865000000.0,355865000000.0,,1584000000.0,,98.68,13857000000.0,-36806000000.0,51836000000.0
5,2024-12-31,MARUTI.NS,,,37269000000.0,,,95740000000.0,368051000000.0,368051000000.0,,,,118.54,14290000000.0,,47723000000.0
0,2023-09-30,NTPC.NS,131055000000.0,324230400000.0,,1536769500000.0,125754900000.0,,,,,2225515300000.0,,4.76,,-118104500000.0,
1,2023-12-31,NTPC.NS,,,51552800000.0,,,180076700000.0,428203800000.0,428203800000.0,,,,5.32,40739100000.0,,83844600000.0
2,2024-03-31,NTPC.NS,113379500000.0,333496800000.0,61687300000.0,1607092700000.0,180191200000.0,124428200000.0,458407900000.0,458407900000.0,,2371309800000.0,498305100000.0,,42707600000.0,-179020400000.0,115224700000.0
3,2024-06-30,NTPC.NS,,,54741400000.0,,,192349400000.0,485205700000.0,485205700000.0,,,,5.65,42042000000.0,,110073700000.0
4,2024-09-30,NTPC.NS,112054800000.0,332564000000.0,52745900000.0,1682712100000.0,158878700000.0,192580000000.0,446963000000.0,446963000000.0,,2420094900000.0,,5.44,42156200000.0,-92606300000.0,83308300000.0
5,2024-12-31,NTPC.NS,,,50625100000.0,,,192293300000.0,450528200000.0,450528200000.0,,,,5.22,43183000000.0,,103514400000.0
0,2023-09-30,NESTLEIND.NS,,,9080800000.0,,,28179200000.0,50095200000.0,50095200000.0,,,,9.418,1111600000.0,,12534000000.0
1,2023-12-31,NESTLEIND.NS,,,6556100000.0,,,26790800000.0,45836300000.0,45836300000.0,,,,6.8,1086900000.0,,9094300000.0
2,2024-06-30,NESTLEIND.NS,,,7466000000.0,,,27541300000.0,47929700000.0,47929700000.0,,,,7.74,1127100000.0,,10407400000.0
3,2024-09-30,NESTLEIND.NS,20614900000.0,3406100000.0,8994900000.0,39034700000.0,18606600000.0,28608400000.0,50747600000.0,50747600000.0,,3698400000.0,,9.33,1216000000.0,-9284200000.0,12326600000.0
4,2024-12-31,NESTLEIND.NS,,,6880100000.0,,,26775300000.0,47621300000.0,47621300000.0,,,,7.14,1325100000.0,,9490500000.0
0,2023-09-30,ONGC.NS,367891200000.0,202951400000.0,,3096274000000.0,543012100000.0,,,,,1434962400000.0,,10.89,,-1303900000.0,
1,2023-12-31,ONGC.NS,,,107031700000.0,,,488895300000.0,1673566300000.0,1673566300000.0,,,,8.51,,,171649300000.0
2,2024-03-31,ONGC.NS,374922110000.0,197629530000.0,109969180000.0,3370702270000.0,522505100000.0,-247250770000.0,1122440940000.0,1122440940000.0,,1605753270000.0,327771880000.0,,,-179364360000.0,181180690000.0
3,2024-06-30,ONGC.NS,,,99364500000.0,,,492453400000.0,1665767500000.0,1665767500000.0,,,,7.9,,,169193700000.0
4,2024-09-30,ONGC.NS,330038700000.0,192537600000.0,102725000000.0,3522761800000.0,532257100000.0,475984100000.0,1583291000000.0,1583291000000.0,,1914893200000.0,,8.17,,-171976300000.0,164491000000.0
5,2024-12-31,ONGC.NS,,,86216900000.0,,,518365400000.0,1660966800000.0,1660966800000.0,,,,6.85,,,171919300000.0
0,2023-09-30,POWERGRID.NS,2833900000.0,116406700000.0,,868853600000.0,13610000000.0,,,,,1198920400000.0,,4.06,,-137703400000.0,
1,2023-12-31,POWERGRID.NS,,,40282500000.0,,,,115497900000.0,115497900000.0,,,,4.33,32934600000.0,,71514300000.0
